Name,Author,User Rating,Reviews,Price,Year,Genre,Price Category,Popularidad,Años en Top,Author Frequency,Rating Category,Rating x Review,Log Reviews
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2017,Non Fiction,Intermedio,Media,7,7,Bueno,22207.5,8.460834457746854
The Alchemist,Paulo Coelho,4.7,35799,39,2014,Fiction,Caro,Muy alta,1,1,Bueno,168255.30000000002,10.485703172388792
The Amateur,Edward Klein,4.6,2580,9,2012,Non Fiction,Barato,Baja,1,1,Bueno,11867.999999999998,7.855932199718614
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2010,Fiction,Intermedio,Media,2,2,Bueno,55521.1,9.37704054786718
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2011,Fiction,Intermedio,Media,2,2,Bueno,55521.1,9.37704054786718
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17,2010,Non Fiction,Intermedio,Baja,1,1,Bueno,16619.2,8.17103418920548
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,Fiction,Intermedio,Media,1,11,Excelente,31680.0,8.79497643168877
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,2012,Non Fiction,Intermedio,Baja,1,1,Regular,7513.8,7.489970898834801
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2019,Non Fiction,Intermedio,Media,1,1,Excelente,59332.799999999996,9.422382530219219
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53,2009,Non Fiction,Caro,Baja,1,1,Bueno,4032.6000000000004,6.755768921984255
The Book Thief,Markus Zusak,4.6,23148,6,2013,Fiction,Barato,Alta,2,2,Bueno,106480.79999999999,10.049706862037105
The Book Thief,Markus Zusak,4.6,23148,6,2014,Fiction,Barato,Alta,2,2,Bueno,106480.79999999999,10.049706862037105
The Book with No Pictures,B. J. Novak,4.8,8081,8,2014,Fiction,Barato,Media,2,2,Excelente,38788.799999999996,8.997394645638419
The Book with No Pictures,B. J. Novak,4.8,8081,8,2015,Fiction,Barato,Media,2,2,Excelente,38788.799999999996,8.997394645638419
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2014,Non Fiction,Intermedio,Alta,2,2,Excelente,112118.4,10.058737627806687
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2015,Non Fiction,Intermedio,Alta,2,2,Excelente,112118.4,10.058737627806687
The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,Fiction,Intermedio,Media,1,6,Regular,30927.6,9.145588494746486
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,2011,Non Fiction,Caro,Media,1,1,Bueno,21775.100000000002,8.441175704992322
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2018,Non Fiction,Barato,Media,2,2,Regular,56162.299999999996,9.477462530462603
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2019,Non Fiction,Barato,Media,2,2,Regular,56162.299999999996,9.477462530462603
The Confession: A Novel,John Grisham,4.3,3523,13,2010,Fiction,Intermedio,Baja,1,5,Regular,15148.9,8.16735198705607
The Constitution of the United States,Delegates of the Constitutional,4.8,2774,0,2016,Non Fiction,Barato,Baja,1,1,Excelente,13315.199999999999,7.928406026180535
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,Non Fiction,Intermedio,Baja,1,1,Regular,1936.0000000000002,6.089044875446846
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,Fiction,Barato,Media,3,3,Excelente,42825.6,9.09638749190015
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2014,Fiction,Barato,Media,3,3,Excelente,42825.6,9.09638749190015
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2015,Fiction,Barato,Media,3,3,Excelente,42825.6,9.09638749190015
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,Non Fiction,Intermedio,Baja,1,1,Regular,8294.3,7.6128310304073565
The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,11,2009,Fiction,Intermedio,Baja,1,1,Regular,7436.0,7.528331766707247
The Fault in Our Stars,John Green,4.7,50482,13,2012,Fiction,Intermedio,Muy alta,3,5,Bueno,237265.40000000002,10.829391924926254
The Fault in Our Stars,John Green,4.7,50482,13,2013,Fiction,Intermedio,Muy alta,3,5,Bueno,237265.40000000002,10.829391924926254
The Fault in Our Stars,John Green,4.7,50482,7,2014,Fiction,Barato,Muy alta,3,5,Bueno,237265.40000000002,10.829391924926254
The Fault in Our Stars,John Green,4.7,50482,13,2014,Fiction,Intermedio,Muy alta,3,5,Bueno,237265.40000000002,10.829391924926254
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2009,Non Fiction,Barato,Baja,5,5,Bueno,14752.199999999999,8.073402968986406
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2010,Non Fiction,Barato,Baja,5,5,Bueno,14752.199999999999,8.073402968986406
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2011,Non Fiction,Barato,Baja,5,5,Bueno,14752.199999999999,8.073402968986406
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2012,Non Fiction,Barato,Baja,5,5,Bueno,14752.199999999999,8.073402968986406
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2013,Non Fiction,Barato,Baja,5,5,Bueno,14752.199999999999,8.073402968986406
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9,2009,Non Fiction,Barato,Baja,1,11,Bueno,3693.7999999999997,6.6895992691789665
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2013,Non Fiction,Barato,Alta,6,6,Bueno,109547.6,10.05659483106667
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2015,Non Fiction,Barato,Alta,6,6,Bueno,109547.6,10.05659483106667
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2016,Non Fiction,Barato,Alta,6,6,Bueno,109547.6,10.05659483106667
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2017,Non Fiction,Barato,Alta,6,6,Bueno,109547.6,10.05659483106667
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2018,Non Fiction,Barato,Alta,6,6,Bueno,109547.6,10.05659483106667
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2019,Non Fiction,Barato,Alta,6,6,Bueno,109547.6,10.05659483106667
The Getaway,Jeff Kinney,4.8,5836,0,2017,Fiction,Barato,Media,1,12,Excelente,28012.8,8.671972245203792
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,Fiction,Intermedio,Muy alta,2,2,Regular,325728.6,11.28284541165472
The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction,Barato,Muy alta,2,2,Regular,325728.6,11.28284541165472
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2010,Fiction,Intermedio,Media,2,6,Bueno,36410.9,8.955190024526887
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2011,Fiction,Intermedio,Media,2,6,Bueno,36410.9,8.955190024526887
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2010,Fiction,Barato,Media,1,6,Bueno,34079.700000000004,8.889032571874742
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,2009,Fiction,Intermedio,Media,1,6,Bueno,34079.700000000004,8.889032571874742
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2009,Fiction,Barato,Media,2,6,Regular,46459.600000000006,9.264828557260252
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2010,Fiction,Barato,Media,2,6,Regular,46459.600000000006,9.264828557260252
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,Fiction,Barato,Media,2,2,Excelente,25195.2,8.565983355585669
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2017,Fiction,Barato,Media,2,2,Excelente,25195.2,8.565983355585669
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,Fiction,Intermedio,Muy alta,2,2,Regular,131991.6,10.429546556942707
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2014,Fiction,Intermedio,Muy alta,2,2,Regular,131991.6,10.429546556942707
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,Fiction,Barato,Media,3,3,Regular,51110.4,9.360224821513475
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2013,Fiction,Barato,Media,3,3,Regular,51110.4,9.360224821513475
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2014,Fiction,Barato,Media,3,3,Regular,51110.4,9.360224821513475
The Guardians: A Novel,John Grisham,4.5,13609,14,2019,Fiction,Intermedio,Media,1,5,Bueno,61240.5,9.518560095645512
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,2009,Fiction,Intermedio,Media,1,1,Bueno,40358.9,9.058121158998672
The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,Fiction,Barato,Muy alta,1,1,Regular,126600.59999999999,10.290211469825051
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,2012,Fiction,Intermedio,Media,1,1,Bueno,51050.799999999996,9.31461029315198
The Hate U Give,Angie Thomas,4.8,9947,11,2018,Fiction,Intermedio,Media,1,1,Excelente,47745.6,9.205126804923296
The Help,Kathryn Stockett,4.8,13871,6,2009,Fiction,Barato,Media,3,4,Excelente,66580.8,9.537627699020323
The Help,Kathryn Stockett,4.8,13871,6,2010,Fiction,Barato,Media,3,4,Excelente,66580.8,9.537627699020323
The Help,Kathryn Stockett,4.8,13871,8,2011,Fiction,Barato,Media,3,4,Excelente,66580.8,9.537627699020323
The Help,Kathryn Stockett,4.8,13871,7,2011,Fiction,Barato,Media,3,4,Excelente,66580.8,9.537627699020323
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,Fiction,Intermedio,Media,1,11,Excelente,33513.6,8.851233902846035
The Hunger Games,Suzanne Collins,4.7,32122,14,2010,Fiction,Intermedio,Muy alta,1,11,Bueno,150973.4,10.377327563450146
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2011,Fiction,Barato,Muy alta,2,11,Bueno,150973.4,10.377327563450146
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2012,Fiction,Barato,Muy alta,2,11,Bueno,150973.4,10.377327563450146
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2011,Fiction,Caro,Media,2,11,Excelente,81355.2,9.738023112808596
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2012,Fiction,Caro,Media,2,11,Excelente,81355.2,9.738023112808596
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13,2010,Non Fiction,Intermedio,Media,3,3,Bueno,43658.3,9.136693831807884
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2011,Non Fiction,Barato,Media,3,3,Bueno,43658.3,9.136693831807884
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2012,Non Fiction,Barato,Media,3,3,Bueno,43658.3,9.136693831807884
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,Non Fiction,Barato,Media,2,2,Regular,31682.399999999998,8.905037290767
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2018,Non Fiction,Barato,Media,2,2,Regular,31682.399999999998,8.905037290767
The Last Lecture,Randy Pausch,4.7,4028,9,2009,Non Fiction,Barato,Media,1,1,Bueno,18931.600000000002,8.301273485191347
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2009,Fiction,Barato,Media,2,11,Excelente,22214.399999999998,8.44009614103127
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2010,Fiction,Barato,Media,2,11,Excelente,22214.399999999998,8.44009614103127
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,Fiction,Intermedio,Media,1,1,Excelente,26440.4,8.593598522618644
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2011,Non Fiction,Intermedio,Media,2,2,Regular,18686.800000000003,8.354203562921775
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2012,Non Fiction,Intermedio,Media,2,2,Regular,18686.800000000003,8.354203562921775
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2015,Non Fiction,Intermedio,Alta,4,4,Bueno,101884.5,10.027561867638054
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2016,Non Fiction,Intermedio,Alta,4,4,Bueno,101884.5,10.027561867638054
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2017,Non Fiction,Intermedio,Alta,4,4,Bueno,101884.5,10.027561867638054
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2019,Non Fiction,Intermedio,Alta,4,4,Bueno,101884.5,10.027561867638054
The Litigators,John Grisham,4.4,6222,18,2011,Fiction,Intermedio,Media,1,5,Regular,27376.800000000003,8.736007384569218
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2010,Fiction,Intermedio,Media,1,11,Excelente,21628.8,8.413387022690648
The Lost Symbol,Dan Brown,4.2,8747,19,2009,Fiction,Intermedio,Media,1,3,Regular,36737.4,9.076580381796658
The Love Dare,Stephen Kendrick,4.8,1655,13,2009,Non Fiction,Intermedio,Baja,1,1,Excelente,7944.0,7.412160334945205
The Magnolia Story,Chip Gaines,4.9,7861,5,2016,Non Fiction,Barato,Media,1,1,Excelente,38518.9,8.969796305981806
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,Fiction,Intermedio,Media,1,11,Excelente,29985.6,8.740016691519521
The Martian,Andy Weir,4.7,39459,9,2015,Fiction,Barato,Muy alta,1,1,Bueno,185457.30000000002,10.583042779576607
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,Fiction,Barato,Media,1,1,Bueno,45454.5,9.220488703027998
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,2018,Fiction,Barato,Media,1,12,Excelente,28310.399999999998,8.682538124003075
The Mueller Report,The Washington Post,4.6,2744,12,2019,Non Fiction,Intermedio,Baja,1,1,Bueno,12622.4,7.917536353943631
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2015,Fiction,Intermedio,Muy alta,2,2,Excelente,236582.4,10.805456211402726
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2016,Fiction,Intermedio,Muy alta,2,2,Excelente,236582.4,10.805456211402726
The Official SAT Study Guide,The College Board,4.4,1201,40,2010,Non Fiction,Caro,Baja,5,6,Regular,5284.400000000001,7.091742115095153
The Official SAT Study Guide,The College Board,4.4,1201,40,2011,Non Fiction,Caro,Baja,5,6,Regular,5284.400000000001,7.091742115095153
The Official SAT Study Guide,The College Board,4.4,1201,40,2012,Non Fiction,Caro,Baja,5,6,Regular,5284.400000000001,7.091742115095153
The Official SAT Study Guide,The College Board,4.4,1201,40,2013,Non Fiction,Caro,Baja,5,6,Regular,5284.400000000001,7.091742115095153
The Official SAT Study Guide,The College Board,4.4,1201,40,2014,Non Fiction,Caro,Baja,5,6,Regular,5284.400000000001,7.091742115095153
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,2016,Non Fiction,Caro,Baja,1,6,Regular,3470.1,6.694562058521095
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,Fiction,Intermedio,Baja,1,1,Regular,16163.699999999999,8.23217423638394
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,2013,Non Fiction,Intermedio,Baja,1,3,Excelente,12782.4,7.88758403166028
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14,2015,Non Fiction,Intermedio,Baja,1,3,Excelente,16454.399999999998,8.14002395246292
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,2012,Non Fiction,Caro,Baja,1,3,Excelente,13804.8,7.964503363551548
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18,2018,Non Fiction,Intermedio,Baja,1,2,Bueno,16204.5,8.189244525735901
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17,2018,Non Fiction,Intermedio,Media,1,2,Regular,31055.2,8.862058677395472
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2017,Fiction,Barato,Media,2,2,Excelente,46963.2,9.188605879830176
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2018,Fiction,Barato,Media,2,2,Excelente,46963.2,9.188605879830176
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21,2012,Non Fiction,Caro,Media,1,1,Bueno,49656.99999999999,9.286930974137896
The President Is Missing: A Novel,James Patterson,4.3,10191,18,2018,Fiction,Intermedio,Media,1,2,Regular,43821.299999999996,9.229358377811945
The Racketeer,John Grisham,4.3,14493,18,2012,Fiction,Intermedio,Media,1,5,Regular,62319.899999999994,9.581490049669227
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12,2010,Fiction,Intermedio,Baja,1,11,Bueno,10055.599999999999,7.690286020676768
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14,2010,Non Fiction,Intermedio,Baja,1,1,Bueno,5538.4,7.094234845924755
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,2012,Fiction,Intermedio,Baja,1,11,Excelente,10036.8,7.645875825184813
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2009,Fiction,Barato,Alta,2,2,Bueno,90712.0,9.889439336810069
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2017,Fiction,Barato,Alta,2,2,Bueno,90712.0,9.889439336810069
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0,2010,Fiction,Barato,Baja,1,7,Bueno,9761.199999999999,7.660585461703256
The Silent Patient,Alex Michaelides,4.5,27536,14,2019,Fiction,Intermedio,Muy alta,1,1,Bueno,123912.0,10.2232858338872
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011,Fiction,Intermedio,Media,1,11,Excelente,20592.0,8.364275084991524
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2017,Non Fiction,Intermedio,Muy alta,3,3,Bueno,121853.99999999999,10.184560331647974
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2018,Non Fiction,Intermedio,Muy alta,3,3,Bueno,121853.99999999999,10.184560331647974
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2019,Non Fiction,Intermedio,Muy alta,3,3,Bueno,121853.99999999999,10.184560331647974
The Sun and Her Flowers,Rupi Kaur,4.7,5487,9,2017,Non Fiction,Barato,Media,1,4,Bueno,25788.9,8.610319169405722
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,2012,Fiction,Barato,Media,1,12,Bueno,29971.9,8.760609847570002
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011,Fiction,Intermedio,Baja,1,11,Bueno,6876.1,7.288927694521257
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,2009,Fiction,Barato,Baja,1,1,Regular,16539.600000000002,8.23217423638394
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,2009,Non Fiction,Barato,Baja,1,4,Regular,15413.2,8.161660452056282
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,10,2019,Non Fiction,Intermedio,Media,1,1,Bueno,54285.0,9.35452729228868
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,2009,Fiction,Caro,Baja,1,7,Bueno,17864.7,8.243282523048375
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12,2010,Fiction,Intermedio,Baja,1,12,Excelente,18220.8,8.241966560231802
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,10,2019,Non Fiction,Intermedio,Media,1,1,Bueno,42441.0,9.108418382250798
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2013,Fiction,Barato,Alta,7,7,Excelente,95775.40000000001,9.880577100953023
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2014,Fiction,Barato,Alta,7,7,Excelente,95775.40000000001,9.880577100953023
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2015,Fiction,Barato,Alta,7,7,Excelente,95775.40000000001,9.880577100953023
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2016,Fiction,Barato,Alta,7,7,Excelente,95775.40000000001,9.880577100953023
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2017,Fiction,Barato,Alta,7,7,Excelente,95775.40000000001,9.880577100953023
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2018,Fiction,Barato,Alta,7,7,Excelente,95775.40000000001,9.880577100953023
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2019,Fiction,Barato,Alta,7,7,Excelente,95775.40000000001,9.880577100953023
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2015,Non Fiction,Intermedio,Media,3,3,Bueno,34536.799999999996,8.923857580099885
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2016,Non Fiction,Intermedio,Media,3,3,Bueno,34536.799999999996,8.923857580099885
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2017,Non Fiction,Intermedio,Media,3,3,Bueno,34536.799999999996,8.923857580099885
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2016,Fiction,Intermedio,Media,4,4,Excelente,43325.8,9.087381464575735
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2017,Fiction,Intermedio,Media,4,4,Excelente,43325.8,9.087381464575735
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2018,Fiction,Intermedio,Media,4,4,Excelente,43325.8,9.087381464575735
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2019,Fiction,Intermedio,Media,4,4,Excelente,43325.8,9.087381464575735
The Wonky Donkey,Craig Smith,4.8,30183,4,2018,Fiction,Barato,Muy alta,2,2,Excelente,144878.4,10.315067261644147
The Wonky Donkey,Craig Smith,4.8,30183,4,2019,Fiction,Barato,Muy alta,2,2,Excelente,144878.4,10.315067261644147
The Wright Brothers,David McCullough,4.7,6169,16,2015,Non Fiction,Intermedio,Media,1,1,Bueno,28994.300000000003,8.727454116899434
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,2013,Non Fiction,Intermedio,Media,1,1,Bueno,33059.8,8.858652969548489
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2011,Non Fiction,Intermedio,Media,2,2,Bueno,50756.399999999994,9.308827318690836
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2012,Non Fiction,Intermedio,Media,2,2,Bueno,50756.399999999994,9.308827318690836
Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,Fiction,Barato,Media,1,1,Bueno,35694.0,8.978786553302003
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012,Non Fiction,Caro,Baja,1,1,Bueno,8568.0,7.552237287560802
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2009,Non Fiction,Intermedio,Baja,2,2,Regular,14271.699999999999,8.107720061910534
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2010,Non Fiction,Intermedio,Baja,2,2,Regular,14271.699999999999,8.107720061910534
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2014,Non Fiction,Caro,Media,4,4,Bueno,51188.799999999996,9.317309592973425
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2015,Non Fiction,Caro,Media,4,4,Bueno,51188.799999999996,9.317309592973425
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2016,Non Fiction,Caro,Media,4,4,Bueno,51188.799999999996,9.317309592973425
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2017,Non Fiction,Caro,Media,4,4,Bueno,51188.799999999996,9.317309592973425
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,Non Fiction,Intermedio,Media,1,1,Regular,25701.1,8.695841342843883
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2013,Fiction,Barato,Muy alta,5,6,Excelente,125923.2,10.174849676120813
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2014,Fiction,Barato,Muy alta,5,6,Excelente,125923.2,10.174849676120813
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2015,Fiction,Barato,Muy alta,5,6,Excelente,125923.2,10.174849676120813
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2016,Fiction,Barato,Muy alta,5,6,Excelente,125923.2,10.174849676120813
To Kill a Mockingbird,Harper Lee,4.8,26234,7,2019,Fiction,Barato,Muy alta,5,6,Excelente,125923.2,10.174849676120813
